Model,Shots,Precision,Recall,F1
Navarasa2.0 (Indic-Gemma 2B),0,16.67,2.34,4.11
Navarasa2.0 (Indic-Gemma 2B),1,11.06,17.19,13.46
Navarasa2.0 (Indic-Gemma 2B),2,11.96,19.53,14.84
Navarasa2.0 (Indic-Gemma 2B),3,12.2,19.53,15.02
Navarasa2.0 (Indic-Gemma 2B),4,10.95,17.19,13.37
Navarasa2.0 (Indic-Gemma 2B),5,13.2,20.31,16.0
Gemma3-1b-it,0,0.0,0.0,0.0
Gemma3-1b-it,1,13.89,15.62,14.71
Gemma3-1b-it,2,16.67,18.75,17.65
Gemma3-1b-it,3,18.4,17.97,18.18
Gemma3-1b-it,4,18.05,18.75,18.39
Gemma3-1b-it,5,19.35,18.75,19.05
TinyLlama (1.1B-Chat),0,0.0,0.0,0.0
TinyLlama (1.1B-Chat),1,4.04,3.12,3.52
TinyLlama (1.1B-Chat),2,6.77,7.03,6.9
TinyLlama (1.1B-Chat),3,5.3,5.47,5.38
TinyLlama (1.1B-Chat),4,7.08,6.25,6.64
TinyLlama (1.1B-Chat),5,7.69,5.47,6.39
Llama-3.2 (1B),0,1.75,0.78,1.08
Llama-3.2 (1B),1,2.19,2.34,2.26
Llama-3.2 (1B),2,3.73,3.91,3.82
Llama-3.2 (1B),3,4.11,4.69,4.38
Llama-3.2 (1B),4,2.1,2.34,2.21
Llama-3.2 (1B),5,1.4,1.56,1.48
Qwen2.5 (0.5B),0,20.0,1.38,2.58
Qwen2.5 (0.5B),1,3.28,2.76,3.0
Qwen2.5 (0.5B),2,4.48,2.07,2.83
Qwen2.5 (0.5B),3,5.0,2.07,2.93
Qwen2.5 (0.5B),4,6.9,2.76,3.94
Qwen2.5 (0.5B),5,5.17,2.07,2.96
T5-base,0,12.24,4.69,6.78
T5-base,1,10.1,4.4,6.2
T5-base,2,9.5,4.2,5.87
T5-base,3,10.2,4.4,6.1
T5-base,4,9.8,4.1,5.93
T5-base,5,12.24,4.69,6.78
FlanT5,0,0.0,0.0,0.0
FlanT5,1,0.0,0.0,0.0
FlanT5,2,0.0,0.0,0.0
FlanT5,3,0.0,0.0,0.0
FlanT5,4,0.0,0.0,0.0
FlanT5,5,0.0,0.0,0.0
mT5-small,0,0.0,0.0,0.0
mT5-small,1,0.0,0.0,0.0
mT5-small,2,0.0,0.0,0.0
mT5-small,3,0.0,0.0,0.0
mT5-small,4,0.0,0.0,0.0
mT5-small,5,0.0,0.0,0.0
